district,q2_transactions,q2_registered_users,q2_registered_merchants,transactions_per_user,merchants_per_1000_users,qoq_transaction_growth_pct,priority
Solapur,234327059,2688732,178647,87.1515,66.4428,5.9574,yes
Dharashiv,72380736,866411,56399,83.5409,65.0950,8.5115,yes
Latur,114882213,1416945,90127,81.0774,63.6066,8.0237,yes
Nanded,131031097,1764475,100568,74.2607,56.9960,11.7493,yes
Parbhani,65772822,907133,50831,72.5063,56.0348,11.0551,yes
Chhatrapati Sambhaji Nagar,277774357,3285314,222633,84.5503,67.7661,6.0733,no
Beed,110400541,1411573,87769,78.2110,62.1782,10.8679,no
Pune,1190115541,14753740,1261805,80.6653,85.5244,3.4816,no
Nashik,326726159,4715835,331234,69.2828,70.2387,5.8390,no
Yavatmal,68274135,1276959,52956,53.4662,41.4704,7.3466,no
Nagpur,229616391,4040766,307247,56.8250,76.0368,4.1989,no
Thane,346477174,8346491,741350,41.5117,88.8218,2.6521,no
Mumbai Suburban,281998060,7625449,749720,36.9812,98.3181,0.7396,no
